x,t,C
0.0,0.0,1.1253517471925872e-07
0.01,0.0,2.479596018045028e-07
0.02,0.0,5.355347802793109e-07
0.03,0.0,1.1337271387479661e-06
0.04,0.0,2.3525752000097667e-06
0.05,0.0,4.785117392129e-06
0.06,0.0,9.540162873079214e-06
0.07,0.0,1.864374233151682e-05
0.08,0.0,3.571284964163521e-05
0.09,0.0,6.705482430281089e-05
0.1,0.0,0.00012340980408667932
0.11,0.0,0.0002226298569188886
0.12,0.0,0.0003936690406550779
0.13,0.0,0.000682328052756376
0.14,0.0,0.0011592291739045903
0.15,0.0,0.0019304541362277093
0.16,0.0,0.0031511115984444384
0.17,0.0,0.005041760259690979
0.18,0.0,0.007907054051593435
0.19,0.0,0.012155178329914924
0.2,0.0,0.018315638888734165
0.21,0.0,0.027051846866350378
0.22,0.0,0.039163895098987045
0.23,0.0,0.05557621261148304
0.24,0.0,0.07730474044329967
0.25,0.0,0.10539922456186429
0.26,0.0,0.14085842092104497
0.27,0.0,0.18451952399298924
0.28,0.0,0.23692775868212176
0.29,0.0,0.29819727942988705
0.3,0.0,0.36787944117144206
0.31,0.0,0.44485806622294094
0.32,0.0,0.5272924240430484
0.33,0.0,0.612626394184416
0.34,0.0,0.697676326071031
0.35000000000000003,0.0,0.778800783071405
0.36,0.0,0.8521437889662111
0.37,0.0,0.9139311852712281
0.38,0.0,0.9607894391523232
0.39,0.0,0.990049833749168
0.4,0.0,1.0
0.41000000000000003,0.0,0.990049833749168
0.42,0.0,0.9607894391523234
0.43,0.0,0.9139311852712284
0.44,0.0,0.8521437889662115
0.45,0.0,0.778800783071405
0.46,0.0,0.697676326071031
0.47000000000000003,0.0,0.612626394184416
0.48,0.0,0.5272924240430489
0.49,0.0,0.4448580662229414
0.5,0.0,0.3678794411714425
0.51,0.0,0.29819727942988744
0.52,0.0,0.23692775868212176
0.53,0.0,0.18451952399298924
0.54,0.0,0.14085842092104497
0.55,0.0,0.10539922456186429
0.56,0.0,0.07730474044329967
0.5700000000000001,0.0,0.05557621261148301
0.58,0.0,0.03916389509898717
0.59,0.0,0.027051846866350475
0.6,0.0,0.01831563888873422
0.61,0.0,0.012155178329914957
0.62,0.0,0.007907054051593448
0.63,0.0,0.005041760259690983
0.64,0.0,0.0031511115984444414
0.65,0.0,0.0019304541362277093
0.66,0.0,0.0011592291739045903
0.67,0.0,0.000682328052756376
0.68,0.0,0.0003936690406550779
0.6900000000000001,0.0,0.0002226298569188886
0.7000000000000001,0.0,0.00012340980408667932
0.71,0.0,6.705482430281136e-05
0.72,0.0,3.5712849641635334e-05
0.73,0.0,1.8643742331516885e-05
0.74,0.0,9.540162873079265e-06
0.75,0.0,4.785117392129017e-06
0.76,0.0,2.352575200009775e-06
0.77,0.0,1.1337271387479661e-06
0.78,0.0,5.355347802793109e-07
0.79,0.0,2.479596018045028e-07
0.8,0.0,1.1253517471925872e-07
0.81,0.0,5.006218020767031e-08
0.8200000000000001,0.0,2.1829577951254702e-08
0.8300000000000001,0.0,9.330287574504972e-09
0.84,0.0,3.908938434264878e-09
0.85,0.0,1.6052280551856172e-09
0.86,0.0,6.461431773106131e-10
0.87,0.0,2.5493818803919783e-10
0.88,0.0,9.859505575991516e-11
0.89,0.0,3.7375713279442696e-11
0.9,0.0,1.3887943864964021e-11
0.91,0.0,5.058252742843803e-12
0.92,0.0,1.8058314375132107e-12
0.93,0.0,6.319285885175345e-13
0.9400000000000001,0.0,2.167568882618954e-13
0.9500000000000001,0.0,7.287724095819667e-14
0.96,0.0,2.4017347816209778e-14
0.97,0.0,7.75840207569611e-15
0.98,0.0,2.4565953687921606e-15
0.99,0.0,7.624459905389777e-16
1.0,0.0,2.3195228302435696e-16
0.0,0.005,0.0
0.01,0.005,3.2403497749928476e-07
0.02,0.005,6.908433702762344e-07
0.03,0.005,1.4440549901445388e-06
0.04,0.005,2.9594222654384833e-06
0.05,0.005,5.94636903654449e-06
0.06,0.005,1.171442986182291e-05
0.07,0.005,2.2626506257357213e-05
0.08,0.005,4.2849283317163854e-05
0.09,0.005,7.956132686415726e-05
0.1,0.005,0.00014484234061084975
0.11,0.005,0.00025853942237087863
0.12,0.005,0.00045247895483763233
0.13,0.005,0.0007764491072798341
0.14,0.005,0.0013063910944920427
0.15,0.005,0.0021551703861745143
0.16,0.005,0.0034861071979593442
0.17,0.005,0.005529082825018936
0.18,0.005,0.008598469294802952
0.19,0.005,0.0131113464701638
0.2,0.005,0.01960351259813265
0.21,0.005,0.028739766993860605
0.22,0.005,0.04131402973891671
0.23,0.005,0.05823431777114336
0.24,0.005,0.08048771858667367
0.25,0.005,0.10908158068217233
0.26,0.005,0.14495937427742678
0.27,0.005,0.18889308980158337
0.28,0.005,0.24135840171143813
0.29,0.005,0.3024035999267819
0.3,0.005,0.37152767282641397
0.31,0.005,0.4475859326072452
0.32,0.005,0.5287422302036785
0.33,0.005,0.6124843750570397
0.34,0.005,0.6957135886279104
0.35000000000000003,0.005,0.7749100575186211
0.36,0.005,0.8463659841713165
0.37,0.005,0.9064666140592672
0.38,0.005,0.951990509510198
0.39,0.005,0.9803947195761615
0.4,0.005,0.9900498337491679
0.41000000000000003,0.005,0.9803947195761616
0.42,0.005,0.9519905095101981
0.43,0.005,0.9064666140592674
0.44,0.005,0.8463659841713167
0.45,0.005,0.7749100575186212
0.46,0.005,0.6957135886279104
0.47000000000000003,0.005,0.6124843750570399
0.48,0.005,0.5287422302036786
0.49,0.005,0.44758593260724566
0.5,0.005,0.3715276728264144
0.51,0.005,0.3024035999267821
0.52,0.005,0.24135840171143835
0.53,0.005,0.18889308980158337
0.54,0.005,0.14495937427742678
0.55,0.005,0.10908158068217232
0.56,0.005,0.08048771858667365
0.5700000000000001,0.005,0.05823431777114342
0.58,0.005,0.04131402973891674
0.59,0.005,0.028739766993860695
0.6,0.005,0.019603512598132717
0.61,0.005,0.013111346470163834
0.62,0.005,0.008598469294802971
0.63,0.005,0.005529082825018945
0.64,0.005,0.0034861071979593464
0.65,0.005,0.0021551703861745156
0.66,0.005,0.0013063910944920427
0.67,0.005,0.0007764491072798341
0.68,0.005,0.00045247895483763233
0.6900000000000001,0.005,0.00025853942237087863
0.7000000000000001,0.005,0.00014484234061084997
0.71,0.005,7.956132686415733e-05
0.72,0.005,4.2849283317164125e-05
0.73,0.005,2.26265062573573e-05
0.74,0.005,1.171442986182295e-05
0.75,0.005,5.94636903654452e-06
0.76,0.005,2.9594222654384918e-06
0.77,0.005,1.444054990144543e-06
0.78,0.005,6.908433702762344e-07
0.79,0.005,3.2403497749928476e-07
0.8,0.005,1.4901089100608655e-07
0.81,0.005,6.718237633525671e-08
0.8200000000000001,0.005,2.9696233891087642e-08
0.8300000000000001,0.005,1.286925819275979e-08
0.84,0.005,5.467757814845295e-09
0.85,0.005,2.2775408057877453e-09
0.86,0.005,9.300831216124076e-10
0.87,0.005,3.7236911653526414e-10
0.88,0.005,1.4615695065932026e-10
0.89,0.005,5.624149981243959e-11
0.9,0.005,2.121698301114325e-11
0.91,0.005,7.846887651238615e-12
0.92,0.005,2.845090665680669e-12
0.93,0.005,1.011294162887553e-12
0.9400000000000001,0.005,3.524029147378656e-13
0.9500000000000001,0.005,1.2038711803905258e-13
0.96,0.005,4.031782151694639e-14
0.97,0.005,1.323697159250097e-14
0.98,0.005,4.2604240331175436e-15
0.99,0.005,1.3442738259082587e-15
1.0,0.005,0.0
0.0,0.01,0.0
0.01,0.01,3.454216851381172e-07
0.02,0.01,8.840449838219118e-07
0.03,0.01,1.8251328178573587e-06
0.04,0.01,3.6952120133445146e-06
0.05,0.01,7.336926063630697e-06
0.06,0.01,1.4286437646950852e-05
0.07,0.01,2.7281856589493383e-05
0.08,0.01,5.109391656075724e-05
0.09,0.01,9.384581196400681e-05
0.1,0.01,0.00016905037461751796
0.11,0.01,0.00029866064772424107
0.12,0.01,0.0005174942648253564
0.13,0.01,0.0008794350246648375
0.14,0.01,0.0014658097467271742
0.15,0.01,0.0023962491462256935
0.16,0.01,0.003842126605596725
0.17,0.01,0.006042288246381148
0.18,0.01,0.009320214647591368
0.19,0.01,0.0141009909464678
0.2,0.01,0.020925556732012202
0.21,0.01,0.03045877116852468
0.22,0.01,0.04348704238250198
